date,change_in_mobility,state_id,country
2021-01-16,-15.69,BW,Germany
2021-01-17,-16.19,BW,Germany
2021-01-18,-14.01,BW,Germany
2021-01-19,-15.2,BW,Germany
2021-01-20,-8.73,BW,Germany
2021-01-21,-9.21,BW,Germany
2021-01-22,-10.61,BW,Germany
2021-01-23,-13.91,BW,Germany
2021-01-24,-12.15,BW,Germany
2021-01-25,-15.01,BW,Germany
2021-01-26,-14.74,BW,Germany
2021-01-27,-12.13,BW,Germany
2021-01-28,-11.59,BW,Germany
2021-01-29,-10.27,BW,Germany
2021-01-30,-15.84,BW,Germany
2021-01-31,-11.9,BW,Germany
2021-02-01,-13.95,BW,Germany
2021-02-02,-13.61,BW,Germany
2021-02-03,-16.01,BW,Germany
2021-02-04,-11.5,BW,Germany
2021-02-05,-13.2,BW,Germany
2021-02-06,-16.07,BW,Germany
2021-02-07,-22.2,BW,Germany
2021-02-08,-13.85,BW,Germany
2021-02-09,-14.26,BW,Germany
2021-02-10,-18.73,BW,Germany
2021-02-11,-11.89,BW,Germany
2021-02-12,-12.51,BW,Germany
2021-02-13,-13.88,BW,Germany
2021-02-14,-7.15,BW,Germany
2021-02-15,-14.37,BW,Germany
2021-02-16,-10.24,BW,Germany
2021-02-17,-9.64,BW,Germany
2021-02-18,-8.74,BW,Germany
2021-02-19,-8.63,BW,Germany
2021-02-20,-2.49,BW,Germany
2021-02-21,12.11,BW,Germany
2021-02-22,-3.34,BW,Germany
2021-02-23,-1.17,BW,Germany
2021-02-24,-1.19,BW,Germany
2021-02-25,-1.15,BW,Germany
2021-02-26,-3.05,BW,Germany
2021-02-27,,BW,Germany
2021-02-28,,BW,Germany
2021-03-01,-2.33,BW,Germany
2021-03-02,-4.25,BW,Germany
2021-03-03,-8.03,BW,Germany
2021-03-04,-7.81,BW,Germany
2021-03-05,-11.48,BW,Germany
2021-03-06,-9.52,BW,Germany
2021-03-07,-6.53,BW,Germany
2021-03-08,-0.78,BW,Germany
2021-03-09,-4.36,BW,Germany
2021-03-10,-5.51,BW,Germany
2021-03-11,-8.51,BW,Germany
2021-03-12,-5.13,BW,Germany
2021-03-13,-14.79,BW,Germany
2021-03-14,-20.19,BW,Germany
2021-03-15,-3.44,BW,Germany
2021-03-16,-4.96,BW,Germany
2021-03-17,-6.96,BW,Germany
2021-03-18,-4.82,BW,Germany
2021-03-19,-7.2,BW,Germany
2021-03-20,-9.18,BW,Germany
2021-03-21,-20.6,BW,Germany
2021-03-22,-3.41,BW,Germany
2021-03-23,-3.89,BW,Germany
2021-03-24,-1.32,BW,Germany
2021-03-25,-2.3,BW,Germany
2021-03-26,-2.12,BW,Germany
2021-03-27,-10.69,BW,Germany
2021-03-28,0.71,BW,Germany
2021-03-29,2.27,BW,Germany
2021-03-30,2.24,BW,Germany
2021-03-31,1.05,BW,Germany
2021-04-01,-0.57,BW,Germany
2021-04-02,-4.76,BW,Germany
2021-04-03,-10.0,BW,Germany
2021-04-04,1.44,BW,Germany
2021-04-05,-24.9,BW,Germany
2021-04-06,-17.07,BW,Germany
2021-04-07,-16.19,BW,Germany
2021-04-08,-10.41,BW,Germany
2021-04-09,-7.26,BW,Germany
2021-04-10,-8.92,BW,Germany
2021-04-11,-9.02,BW,Germany
2021-04-12,-10.81,BW,Germany
2020-01-01,11.76,BY,Germany
2020-01-02,-13.44,BY,Germany
2020-01-03,-11.32,BY,Germany
2020-01-04,-0.44,BY,Germany
2020-01-05,7.34,BY,Germany
2020-01-06,14.25,BY,Germany
2020-01-07,2.39,BY,Germany
2020-01-08,7.05,BY,Germany
2020-01-09,7.87,BY,Germany
2020-01-10,10.54,BY,Germany
2020-01-11,8.61,BY,Germany
2020-01-12,9.01,BY,Germany
2020-01-13,5.65,BY,Germany
2020-01-14,4.24,BY,Germany
2020-01-15,10.41,BY,Germany
2020-01-16,10.83,BY,Germany
2020-01-17,13.08,BY,Germany
2020-01-18,9.92,BY,Germany
2020-01-19,7.07,BY,Germany
2020-01-20,5.52,BY,Germany
2020-01-21,6.1,BY,Germany
2020-01-22,10.13,BY,Germany
2020-01-23,6.55,BY,Germany
2020-01-24,10.51,BY,Germany
2020-01-25,11.54,BY,Germany
2020-01-26,10.29,BY,Germany
2020-01-27,6.34,BY,Germany
2020-01-28,4.28,BY,Germany
2020-01-29,9.38,BY,Germany
2020-01-30,11.21,BY,Germany
2020-01-31,14.09,BY,Germany
2020-02-01,5.18,BY,Germany
2020-02-02,-2.17,BY,Germany
2020-02-03,3.43,BY,Germany
2020-02-04,3.82,BY,Germany
